2025-03-01 23:13:28 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-02 12:39:56 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-02 16:49:35 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-02 21:11:55 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-05 06:24:33 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-05 12:16:03 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-08 18:56:21 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-09 15:18:01 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-09 21:20:46 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-09 21:24:04 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-10 06:24:49 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-10 07:48:45 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-10 07:57:38 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-10 14:43:36 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-13 07:57:38 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-13 07:57:59 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-14 10:06:48 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-14 14:12:31 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-16 13:14:46 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


